,Modelo,Motorizacion,Categoria,MTMA_Kg,Consumo_electrico_kWh/10km,Potencia_electrica_kW,Autonomia_electrica_km,Capacidad_bateria_kWh,Consumo Mínimo,Consumo Máximo,Emisiones Mínimo,Emisiones Máximo
128,BMW 520e Touring (Desde prod 03/2021) 71CG,Híbridos enchufables,M1,1975.0,22.0,80.0,59.0,12.0,1.5,1.9,34.0,43.0
129,BMW 530e Berlina (Desde prod 03/2019) JA91,Híbridos enchufables,M1,2420.0,13.3,83.0,48.0,90.0,2.0,2.5,45.0,56.0
130,BMW 530e Berlina (Desde prod 11/2023) 71FJ,Híbridos enchufables,M1,2655.0,21.0,135.0,101.0,19.4,0.6,0.8,13.0,17.0
131,BMW 530e Touring (Desde prod 11/2023) 11CG,Híbridos enchufables,M1,2550.0,22.3,80.0,56.0,11.2,1.6,1.7,35.0,39.0
132,BMW 530e xDrive Touring (Desde prod 11/2023) 31CG,Híbridos enchufables,M1,2610.0,24.4,80.0,52.0,11.2,1.8,2.0,42.0,45.0
133,BMW 550e xDrive Berlina (Desde prod 11/2023) 11FK,Híbridos enchufables,M1,2805.0,22.9,145.0,89.0,19.0,0.8,1.0,19.0,23.0
134,BMW 750e xDrive (Desde prod 07/2023) 41EH,Híbridos enchufables,M1,3130.0,24.4,145.0,82.0,17.6,1.0,1.2,23.0,27.0
135,BMW 750e xDrive (Desde prod 11/2023) 41EH,Híbridos enchufables,M1,3130.0,24.4,145.0,80.0,17.6,1.0,1.2,23.0,27.0
136,BMW BMW 750e xDrive (Desde 07/2022) 41EH,Híbridos enchufables,M1,2380.0,22.8,145.0,87.0,18.7,1.0,1.1,22.0,25.0
137,BMW BMW i7 xDrive60 (desde prod 07/2022) 51EJ,Eléctricos puros,M1,2640.0,18.4,400.0,625.0,101.7,0.0,0.0,0.0,0.0
138,BMW i i3 (Desde prod 11/2017) 7Z21,Eléctricos puros,M1,1670.0,13.1,125.0,300.0,33.2,0.0,0.0,0.0,0.0
140,BMW i i3 (Desde prod 11/2017) 7Z21,Eléctricos puros,M1,1670.0,13.6,125.0,290.0,33.2,0.0,0.0,0.0,0.0
142,BMW i i3 (Desde prod 11/2017) 7Z41,Eléctricos puros,M1,1760.0,11.5,125.0,235.0,33.2,0.0,0.0,0.0,0.0
144,BMW i i3 (Desde prod 11/2017) 7Z41,Eléctricos puros,M1,1760.0,11.9,125.0,225.0,33.2,0.0,0.0,0.0,0.0
146,BMW i i3 (Desde prod 11/2017) 7Z61,Eléctricos puros,M1,1700.0,14.3,135.0,280.0,33.2,0.0,0.0,0.0,0.0
147,BMW i i3 (Desde prod 11/2017) 7Z81,Eléctricos puros,M1,1780.0,12.5,135.0,220.0,33.2,0.0,0.0,0.0,0.0
148,BMW i i3 7Z21,Eléctricos puros,M1,1670.0,13.1,125.0,300.0,33.2,0.0,0.0,0.0,0.0
150,BMW i i3 7Z21,Eléctricos puros,M1,1670.0,13.6,125.0,290.0,33.2,0.0,0.0,0.0,0.0
152,BMW i i3 7Z41,Eléctricos puros,M1,1760.0,11.5,125.0,235.0,33.2,0.0,0.0,0.0,0.0
154,BMW i i3 7Z41,Eléctricos puros,M1,1760.0,11.9,125.0,225.0,33.2,0.0,0.0,0.0,0.0
156,BMW i i3 7Z61,Eléctricos puros,M1,1700.0,14.3,135.0,280.0,33.2,0.0,0.0,0.0,0.0
157,BMW i i3 7Z81,Eléctricos puros,M1,1780.0,12.5,135.0,220.0,33.2,0.0,0.0,0.0,0.0
158,BMW i i3 8P21,Eléctricos puros,M1,1710.0,13.1,125.0,330.0,42.2,0.0,0.0,0.0,0.0
159,BMW i i3 8P21 (Desde prod 11/2018) 8P21,Eléctricos puros,M1,1710.0,13.1,125.0,330.0,42.2,0.0,0.0,0.0,0.0
160,BMW i i3 8P21 8P21,Eléctricos puros,M1,1710.0,13.1,125.0,330.0,42.2,0.0,0.0,0.0,0.0
161,BMW i i3 BEV i3 Grupo 1 Automatico (I01) (7Z21),Eléctricos puros,M1,1670.0,13.1,125.0,300.0,33.2,0.0,0.0,0.0,0.0
162,BMW i i3 BEV i3 Grupo 2 Automatico (I01) (7Z21),Eléctricos puros,M1,1670.0,13.6,125.0,290.0,33.2,0.0,0.0,0.0,0.0
163,BMW i i3 REEV i3 Grupo 1 Automatico (I01) (CO2 13) (7Z41),Eléctricos puros,M1,1760.0,11.5,125.0,235.0,33.2,0.0,0.0,0.0,0.0
164,BMW i i3 REEV i3 Grupo 2 Automatico (I01) (CO2 14) (7Z41),Eléctricos puros,M1,1760.0,11.9,125.0,225.0,33.2,0.0,0.0,0.0,0.0
165,BMW i i3S 8P61,Eléctricos puros,M1,1730.0,14.0,125.0,330.0,42.2,0.0,0.0,0.0,0.0
166,BMW i i3s BEV i3s Automatico (I01) (7Z61),Eléctricos puros,M1,1700.0,14.3,135.0,280.0,33.2,0.0,0.0,0.0,0.0
